team,elo,rank
South Yemen,1482.2568393374659,179
Madrid,1481.1815878804327,180
Lebanon,1479.3325608193488,181
Seborga,1477.8995138904497,182
El Salvador,1477.3251418346874,183
Chechnya,1475.9929466285557,184
Matabeleland,1475.6964526618333,185
Yoruba Nation,1471.6755380106038,186
Provence,1470.9408256349934,187
Sudan,1468.680395074164,188
Găgăuzia,1465.917938707212,189
Bahrain,1464.8498154106665,190
Manchukuo,1464.6982085953773,191
Tahiti,1464.6094015778526,192
Palau,1464.4322331074345,193
Greenland,1463.7056112394064,194
Dominican Republic,1463.5364652611693,195
Comoros,1463.2506558517762,196
Martinique,1462.9619177292718,197
Somaliland,1461.5933466242561,198
Monaco,1461.5788807397942,199
Niue,1460.7404159605549,200
Sápmi,1460.2293299628443,201
Ryūkyū,1459.4246351599518,202
Mozambique,1458.3868601628828,203
Saarland,1457.4980011994962,204
West Papua,1454.4206697042007,205
Franconia,1453.9755703486744,206
Mauritania,1452.9668644921962,207
Zimbabwe,1452.7441217502678,208
Kabylia,1449.6133390910888,209
Orkney,1446.421280596242,210
Ambazonia,1445.2578348858356,211
Kenya,1444.7046437739452,212
East Turkestan,1443.798305342178,213
Aymara,1441.7873803800464,214
Lesotho,1440.5446553061502,215
Western Australia,1440.3201343041912,216
Rwanda,1439.3431518822545,217
Romani people,1438.0076803169627,218
Hmong,1437.780856849239,219
Tajikistan,1432.6355987546056,220
Western Isles,1431.779106027955,221
Vietnam,1425.3429137589762,222
Åland Islands,1425.1895684747308,223
Saare County,1420.0233629101263,224
Micronesia,1413.148602054358,225
Montenegro,1411.8891824213629,226
Malawi,1410.5320665010127,227
Puerto Rico,1409.826258251934,228
Gotland,1408.1430022594461,229
Sark,1407.256343395139,230
Cuba,1399.812964873051,231
Vanuatu,1399.7508299821452,232
Malta,1398.179565745876,233
Equatorial Guinea,1395.3236058906148,234
Raetia,1392.6838972506973,235
French Guiana,1391.5266444040815,236
Ethiopia,1388.6093303014397,237
Yemen DPR,1387.0966223906619,238
Papua New Guinea,1385.2922483750992,239
Hitra,1385.1634531741092,240
Saint Barthélemy,1384.2971936991228,241
Namibia,1382.3850755129793,242
Ticino,1381.6248731564735,243
Armenia,1381.4681921320127,244
Luxembourg,1379.1504298247112,245
Vietnam Republic,1376.5404583015163,246
Two Sicilies,1375.6564772701458,247
Wallis Islands and Futuna,1369.4932110826635,248
Philippines,1369.2119325910191,249
Cyprus,1366.409129226085,250
Estonia,1366.2400889477008,251
Marshall Islands,1365.890658129869,252
Vatican City,1365.0425410205398,253
Botswana,1359.1478872528435,254
Bermuda,1356.071856012764,255
Yemen,1354.7848237720482,256
Turkmenistan,1352.4064557795903,257
Azerbaijan,1347.2012990220585,258
Western Sahara,1346.5229269629642,259
South Sudan,1344.102569896308,260
Tanzania,1333.8883229841624,261
Central African Republic,1328.0813179844492,262
Saint Martin,1319.9768173600992,263
Eswatini,1318.3207341067496,264
Singapore,1316.6296522930613,265
Grenada,1314.2854776744296,266
Fiji,1312.6259914253833,267
Saint Vincent and the Grenadines,1310.3433564741067,268
Latvia,1308.272422578024,269
Barawa,1303.5828180824149,270
Chagos Islands,1299.5126125243462,271
Congo,1297.6792389892676,272
Sint Maarten,1295.5607076832334,273
Guinea-Bissau,1291.644988149073,274
Burundi,1284.8252986808736,275
Lithuania,1283.4892372405586,276
Saint Helena,1273.6718414856152,277
Mauritius,1269.4615546660855,278
Solomon Islands,1264.0424775543256,279
Moldova,1260.557229135256,280
Tibet,1253.7429642508316,281
Kiribati,1244.3986438092768,282
Montserrat,1241.0399507072093,283
Hong Kong,1235.671377744229,284
Belize,1229.208913095821,285
Saint Pierre and Miquelon,1217.1122136949466,286
Aruba,1216.845935563787,287
Falkland Islands,1205.2295797658392,288
São Tomé and Príncipe,1203.238945728523,289
Saint Kitts and Nevis,1200.2676887656382,290
Darfur,1181.597306629411,291
Samoa,1179.9626423125287,292
Tuvalu,1179.2219620663839,293
Frøya,1166.1535528080303,294
Saint Lucia,1164.086244624513,295
Chad,1161.7612032227535,296
Bangladesh,1151.6849475036393,297
Pakistan,1147.4539327497562,298
Myanmar,1127.453437534778,299
Alderney,1126.28388261902,300
Dominica,1122.6691618248542,301
Andorra,1122.231064372915,302
Somalia,1118.5773839225083,303
India,1110.0719129425736,304
Eritrea,1093.7040617338394,305
Afghanistan,1088.4914898872053,306
Bonaire,1065.5802447699557,307
Tonga,1059.1433670411006,308
Barbados,1058.3014455930113,309
Djibouti,1050.2304854015797,310
Cambodia,1047.465342956075,311
Sri Lanka,1034.8949633158734,312
Nepal,1024.9081702281171,313
Antigua and Barbuda,1022.4006208915083,314
Gibraltar,1019.6402079367441,315
British Virgin Islands,1014.1868632791129,316
Cook Islands,995.8694922942934,317
United States Virgin Islands,982.1394638867453,318
Cayman Islands,970.2079127092499,319
Northern Mariana Islands,959.7240358712497,320
Laos,928.0934023416319,321
Taiwan,927.4620242299164,322
Seychelles,915.0007944401267,323
Turks and Caicos Islands,895.9146733190681,324
Brunei,895.2528263189879,325
Maldives,892.3865919032149,326
Bhutan,890.0667077020452,327
Mongolia,886.2376041325008,328
Timor-Leste,882.9378227677631,329
Guam,882.6553890596635,330
American Samoa,875.2684086984503,331
Anguilla,862.9679210301255,332
Liechtenstein,857.148650402001,333
Bahamas,838.3646825891786,334
San Marino,823.4219402091791,335
Macau,722.9816323626426,336
